シーンナンバー,名前,会話の内容
,アブラデール,タイクーン国まであと少しか
,女神,感じますか、アブラデール……マネーパワーの解（ほつ）れを
,アブラデール,……あぁ
,女神,この先に、闇の大石油王の手勢が
,アブラデール,わかっている
,女神,"恐れることはありません、汝には女神たる私の加護があります。
何が起ころうとも、金と石油があなたを護るでしょう。"
,女神,アブラデール、貴方が真の石油王としての志を失わない限り。
,アブラデール,父上は……
,女神,……？
,アブラデール,父上は、なぜ闇の大石油王に敗れたのだ、貴女の加護があったというのに……
,アブラデール,……父は
,アブラデール,我が父上は、偉大なる石油王だった。
,女神,……それは、私が一番よく知っています。
,女神,石油王とは、金の声を聴き、マネーパワーが解（ほつ）れし時に、その修正を担ってきた勇者。
,女神,私は多くの石油王を見守ってきました、そして、アブラウール王ほど、金に愛され、金を愛した石油王はいなかった。
,アブラデール,父上を倒すほどの強大な敵に、私は立ち向かうことが出来るだろうか
,女神,出来るか、出来ないかではなく、やらなければならないのです。アブラウールの息子、アブラデール。
,女神,……今の頼りは汝だけ、汝が父君を超える石油王でなければ……
,アブラデール,女神殿？
,女神,……でなければ
,アブラデール,今のは！？
,女神,高密度のマネーパワー！？　スフィンクスからです！
,アブラデール,ええい、このままではいい的だ、飛び降りるぞ
